ID,Sản phẩm,Thương hiệu,Nguồn,Link,Loại SP,Khối lượng tịnh,Giá niêm yết (VND),Phí ship (VND),Ngưỡng Freeship (VND),Địa phương,HTML,Ngày Thêm,Tình trạng Giá,TMĐT
ID000,Cà phê Robusta Honey nguyên chất rang mộc 100%,Message Coffee,messagecoffee.com,https://messagecoffee.com/products/ca-phe-robusta-honey-nguyen-chat-rang-moc-100-vi-dang-dam-hau-ngot-thom-nong-dung-pha-phin-pha-may-tu-message-coffee,Robusta Honey,200 g,"88,000","22,000 - 35,000","300,000",Toàn quốc,"<span class=product-price>88,000₫</span>",2025-07-11,Lỗi,Không rõ
ID001,Cà phê Arabica Cầu Đất nguyên chất 100%,Message Coffee,messagecoffee.com,https://messagecoffee.com/products/ca-phe-arabica-cau-dat-nguyen-chat-100-hau-vi-ngot-thom-quyen-ru-goi-500g-pha-may-cold-brew-va-drip-tu-message-coffee,Arabica Cầu Đất,200 g,"110,000","22,000 - 35,000","300,000",Toàn quốc,"<div class=product-price><span class=product-price__reduced>110,000₫</span></div>",2025-07-11,Lỗi,Không rõ
ID002,Cà Phê Nguyên Chất Mashup,TaynguyenSoul,taynguyensoul.vn,https://taynguyensoul.vn/san-pham/ca-phe-rang-xay-nguyen-chat-mashup/,Blend Robusta & Arabica,250 g,"132,000",Theo ĐVVC,"589,000",Toàn quốc,<ins><span class=woocommerce-Price-amount amount><bdi>132.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins>,2025-07-11,Mới,Không rõ
ID003,Cà Phê Nguyên Chất Đậm Mạnh High Caffeine Power,TaynguyenSoul,taynguyensoul.vn,https://taynguyensoul.vn/san-pham/ca-phe-nguyen-chat-dam-manh-high-caffeine-power/,Robusta Gia Lai,250 g,"145,000",Theo ĐVVC,"589,000",Toàn quốc,<p class=price><ins><span class=woocommerce-Price-amount amount><bdi>145.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>,2025-07-11,Mới,Không rõ
ID004,Gói 500g cà phê đặc sản Eatu Café Specialty Coffee,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-dac-san-specialty-coffee-eatu-cafe-100-robusta-goi-rang-xay-500g/,Robusta (Specialty),500 g,"210,000",Theo ĐVVC,"500,000",Toàn quốc,<p class=price><ins><span class=woocommerce-Price-amount amount><bdi>210.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>,2025-07-11,Lỗi,Không rõ
ID005,Gói 250g Cà Phê rang xay Mộc Nguyên Chất Robusta mix Arabica,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-bot-nguyen-chat-robusta-ket-hop-arabica-250g/,Blend 80% Robusta & 20% Arabica,250 g,"90,000",Theo ĐVVC,"500,000",Toàn quốc,p.price .woocommerce-Price-amount.amount,2025-07-11,Đã,Không rõ
ID006,Cà phê Sáng Tạo 5,Trung Nguyên Legend,trungnguyenlegendcafe.net,https://trungnguyenlegendcafe.net/san-pham/ca-phe-sang-tao-5/,Culi Arabica,340 g,"180,000","15,000 - 30,000","200,000",Toàn quốc,<span class=price><span class=woocommerce-Price-amount amount><bdi>180.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></span>,2025-07-11,Mới,Không rõ
ID007,Cà phê Sáng Tạo 8 – 500gr,Trung Nguyên Legend,trungnguyenlegendcafe.net,https://trungnguyenlegendcafe.net/san-pham/ca-phe-sang-tao-8-500gr/,"Blend Arabica, Robusta",500 g,"625,000","15,000 - 30,000","200,000",Toàn quốc,<span class=price><span class=woocommerce-Price-amount amount><bdi>625.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></span>,2025-07-11,Mới,Không rõ
ID008,Cà phê đặc sản ARABICA LẠC DƯƠNG,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-dac-san-arabica-lac-duong,Arabica Lạc Dương,250 g,"110,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>110.000₫</span>,2025-07-11,Đã,Không rõ
ID010,Cà phê bột rang mộc Guta cafe gói 250gr,Guta Cafe,gutacafe.vn,https://gutacafe.vn/shop/ca-phe-bot-rang-moc-guta-cafe-goi-250gr/,"Blend 80% Robusta, 20% Arabica",250 g,"80,750",Theo ĐVVC,Không rõ,Toàn quốc,<ins><span class=woocommerce-Price-amount amount><bdi>80.750&nbsp;<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins>,2025-07-11,Mới,Không rõ
ID011,Cà phê Rang Xay EXPERT BLEND 3 King Coffee,King Coffee,huyenthoaiviet.vn,https://huyenthoaiviet.vn/ca-phe-rang-xay-expert-blend-3-king-coffee-bich-500gam-269.html,Arabica Cầu Đất,500 g,"175,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price id=price-special>175.000đ</span>,2025-07-11,Lỗi,Không rõ
ID012,Cà Phê Rang Xay Inspire Blend King Coffee,King Coffee,huyenthoaiviet.vn,https://huyenthoaiviet.vn/ca-phe-rang-xay-inspire-blend-king-coffee-bich-500gam-266.html,"Blend (Culi Arabica, Robusta, Excelsa, Catimor)",500 g,"145,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price id=price-special>145.000đ</span>,2025-07-11,Lỗi,Không rõ
ID013,Cà Phê Rang Xay Nguyên Chất - Dòng Thích (250g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-rang-xay-nguyen-chat-dong-thich-250g,"Blend 60% Robusta, 40% Arabica",250 g,"140,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 140,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID014,Cà Phê Rang Xay Nguyên Chất - Dòng Thích (500g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-rang-xay-nguyen-chat-dong-thich-500g,"Blend 60% Robusta, 40% Arabica",500 g,"260,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 260,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID015,Cà phê nguyên chất hạt rang ARABICA – 250g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-arabica-250g,Arabica,250 g,"200,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 200,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID016,Cà phê nguyên chất hạt rang ARABICA – 500g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-arabica-500g,Arabica,500 g,"360,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 360,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID017,Cà Phê Hạt Rang Nguyên Chất - Dòng Culi (250g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-hat-rang-nguyen-chat-dong-culi-250g,Culi,250 g,"110,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 110,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID018,Cà phê nguyên chất hạt rang CULI – 1000g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-culi-1000g,Culi,1 kg,"380,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 380,000₫ </span>",2025-07-11,Đã,Không rõ
ID019,CÀ PHÊ RANG XAY NGUYÊN CHẤT,HappyFood (Harvest),happyfood.vn,https://happyfood.vn/san-pham/ca-phe-rang-xay-nguyen-chat/,Blend Arabica & Robusta,500 g,"156,000",Theo ĐVVC,Không rõ,Toàn quốc,"<p class=price><span class=woocommerce-Price-amount amount><bdi>156,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></p>",2025-07-11,Đã,Không rõ
ID020,Hộp 500g cà phê đặc sản Eatu Café Specialty Coffee,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-dac-san-viet-nam-100-robusta-da-cham-diem-500g/,Robusta (Specialty),500 g,"210,000",Theo ĐVVC,"500,000",Toàn quốc,"<p class=price><del aria-hidden=true><span class=woocommerce-Price-amount amount><bdi>230,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></del> <ins><span class=woocommerce-Price-amount amount><bdi>210,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>",2025-07-11,Đã,Không rõ
ID021,Cà phê đặc sản Arabica Typica 250gr,LKT Artisan Coffee,lkt.coffee,https://www.lkt.coffee/product-page/c%C3%A0-ph%C3%AA-%C4%91%E1%BA%B7c-s%E1%BA%A3n-arabica-typica-250gr,Arabica Typica,250 g,"450,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>450.000₫</span>,2025-07-11,Đã,Không rõ
ID023,Dark Vader Arabica Cà Phê,Bosgaurus Coffee Roasters,bosgauruscoffee.com,https://bosgauruscoffee.com/,Arabica,Không rõ,$10.00,Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>$10.00</div>,2025-07-11,Đã,Không rõ
ID024,CÀ PHÊ RANG XAY CLASSIC FILTER 500G,CAFÉ IIN,cafeiin.com,https://cafeiin.com/classic-filter-500g/,Robusta,500 g,"175,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount>175.000&nbsp;<span class=woocommerce-Price-currencySymbol>₫</span></span>,2025-07-11,Đã,Không rõ
ID026,Cà phê rang xay nguyên chất Thức tỉnh 2,Tây Nguyên Xanh,greenhighlandcoffee.com.vn,https://greenhighlandcoffee.com.vn/product/ca-phe-rang-xay-nguyen-chat-thuc-tinh-2-coffee-tay-nguyen-xanh-100g/,Blend Arabica & Robusta,100 g,"17,850",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price><ins><span class=woocommerce-Price-amount amount><bdi>17,850<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span></ins></span>",2025-07-11,Đã,Không rõ
ID027,CÀ PHÊ RANG XAY TRUYỀN THỐNG (500g/túi),Vinacafé,vinacafe.com.vn,https://vinacafe.com.vn/san-pham/cafe,Blend,500 g,"163,889",Theo ĐVVC,Không rõ,Toàn quốc,<span>Giá bán lẻ: 163.889 đ</span>,2025-07-11,Đã,Không rõ
ID028,CÀ PHÊ RANG XAY HẠNG NHẤT (500g/túi),Vinacafé,vinacafe.com.vn,https://vinacafe.com.vn/san-pham/cafe,Blend,500 g,"170,370",Theo ĐVVC,Không rõ,Toàn quốc,<span>Giá bán lẻ: 170.370 đ</span>,2025-07-11,Đã,Không rõ
ID030,Cà phê Ocean Blue bột - túi Zipper 250gr,Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-ocean-blue-bot-tui-zipper-250gr-ocean-blue-ground-coffee-250gr-zipper-bag,Blend,250 g,"85,800",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>85.800₫</div>,2025-07-11,Đã,Không rõ
ID031,Cà phê bột MC3 (MC3 ground coffee),Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-bot-mc3-mc3-ground-coffee,Blend,500 g,"220,000",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>220.000₫</div>,2025-07-11,Đã,Không rõ
ID032,Cà phê bột Arabica (Arabica Ground Coffee),Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-bot-arabica-arabica-ground-coffee,Arabica,500 g,"88,000",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>88.000₫</div>,2025-07-11,Đã,Không rõ
ID033,Cà Phê Hạt Rang AnTháiCafé Túi Hương Chồn - 500g,AnTháiCafé,tiki.vn,https://tiki.vn/ca-phe-hat-rang-anthaicafe-tui-huong-chon-500g-p53304705.html,Blend (Hương Chồn),500 g,"139,100","14,000 - 25,000","149,000",Toàn quốc,<div class=product-price__current-price>139.100 ₫</div>,2025-07-11,Đã,Không rõ
ID034,Cà phê Hạt rang Robusta Truyền thống,AnTháiCafé,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-robusta-truyen-thong/,Robusta,500 g,"91,500",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>91.500&nbsp;<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID035,Cà phê Hạt rang Arabica (Thơm Ngon),AnTháiCafé,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-arabica-thom-ngon/,Arabica,500 g,"145,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>145.000&nbsp;<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID036,Cà Phê Hạt Rang Xay Espresso hộp (250gr),HIUP Coffee,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-xay-espresso-hop-250gr-hiup-coffee/,Blend,250 g,"87,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>87.000&nbsp;<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID037,Cà phê phin giấy Arabica,Early Morning,earlymorning.vn,https://earlymorning.vn/arabica-drip-bag-coffee-ca-phe-phin-giay-tui-10-goi,Arabica,150 g (10 gói x 15g),"200,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price-item price-item--regular>200.000₫</span>,2025-07-11,Đã,Không rõ
ID038,Cà phê Robusta Honey nguyên chất rang mộc 100%,Message Coffee,messagecoffee.com,https://messagecoffee.com/products/ca-phe-robusta-honey-nguyen-chat-rang-moc-100-vi-dang-dam-hau-ngot-thom-nong-dung-pha-phin-pha-may-tu-message-coffee,Robusta Honey,200 g,"88,000","22,000 - 35,000","300,000",Toàn quốc,"<span class=product-price>88,000₫</span>",2025-07-11,Đã,Không rõ
ID039,Cà phê Arabica Cầu Đất nguyên chất 100%,Message Coffee,messagecoffee.com,https://messagecoffee.com/products/ca-phe-arabica-cau-dat-nguyen-chat-100-hau-vi-ngot-thom-quyen-ru-goi-500g-pha-may-cold-brew-va-drip-tu-message-coffee,Arabica Cầu Đất,200 g,"110,000","22,000 - 35,000","300,000",Toàn quốc,"<div class=product-price><span class=product-price__reduced>110,000₫</span></div>",2025-07-11,Đã,Không rõ
ID040,Cà Phê Nguyên Chất Mashup,TaynguyenSoul,taynguyensoul.vn,https://taynguyensoul.vn/san-pham/ca-phe-rang-xay-nguyen-chat-mashup/,Blend Robusta & Arabica,250 g,"132,000",Theo ĐVVC,"599,000",Toàn quốc,<ins><span class=woocommerce-Price-amount amount><bdi>132.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins>,2025-07-11,Đã,Không rõ
ID041,Cà Phê Nguyên Chất Đậm Mạnh High Caffeine Power,TaynguyenSoul,taynguyensoul.vn,https://taynguyensoul.vn/san-pham/ca-phe-nguyen-chat-dam-manh-high-caffeine-power/,Robusta Gia Lai,250 g,"145,000",Theo ĐVVC,"599,000",Toàn quốc,<p class=price><ins><span class=woocommerce-Price-amount amount><bdi>145.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>,2025-07-11,Đã,Không rõ
