ID,Sản phẩm,Thương hiệu,Nguồn,Link,Loại SP,Khối lượng tịnh,Giá niêm yết (VND),Phí ship (VND),Ngưỡng Freeship (VND),Địa phương,HTML,Ngày Thêm,Tình trạng Giá,TMĐT
ID044,Gói 500g cà phê đặc sản Eatu Café Specialty Coffee,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-dac-san-specialty-coffee-eatu-cafe-100-robusta-goi-rang-xay-500g/,Robusta (Specialty),500 g,"210,000",Theo ĐVVC,"500,000",Toàn quốc,<p class=price><ins><span class=woocommerce-Price-amount amount><bdi>210.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>,2025-07-11,Đã,Không rõ
ID045,Gói 250g Cà Phê rang xay Mộc Nguyên Chất Robusta mix Arabica,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-bot-nguyen-chat-robusta-ket-hop-arabica-250g/,Blend 80% Robusta & 20% Arabica,250 g,"90,000",Theo ĐVVC,"500,000",Toàn quốc,<p class=price><span class=woocommerce-Price-amount amount><bdi>90.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></p>,2025-07-11,Đã,Không rõ
ID046,Cà phê Sáng Tạo 5,Trung Nguyên Legend,trungnguyenlegendcafe.net,https://trungnguyenlegendcafe.net/san-pham/ca-phe-sang-tao-5/,Culi Arabica,340 g,"180,000","15,000 - 30,000","200,000",Toàn quốc,<span class=price><span class=woocommerce-Price-amount amount><bdi>180.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></span>,2025-07-11,Đã,Không rõ
ID047,Cà phê Sáng Tạo 8 – 500gr,Trung Nguyên Legend,trungnguyenlegendcafe.net,https://trungnguyenlegendcafe.net/san-pham/ca-phe-sang-tao-8-500gr/,"Blend Arabica, Robusta",500 g,"625,000","15,000 - 30,000","200,000",Toàn quốc,<span class=price><span class=woocommerce-Price-amount amount><bdi>625.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></span>,2025-07-11,Đã,Không rõ
ID052,Cà Phê Rang Xay Original 1 250G,The Coffee House,thecoffeehouse.com,https://thecoffeehouse.com/products/ca-phe-rang-xay-original-1-250g-1,Robusta Đắk Lắk,250 g,"82,000",Theo ĐVVC,Không rõ,Toàn quốc,<div class=price-ins> 82.000 đ </div>,2025-07-11,Đã,Không rõ
ID056,Cà phê bột rang mộc Guta cafe gói 250gr,Guta Cafe,gutacafe.vn,https://gutacafe.vn/shop/ca-phe-bot-rang-moc-guta-cafe-goi-250gr/,"Blend 80% Robusta, 20% Arabica",250 g,"80,750",Theo ĐVVC,Không rõ,Toàn quốc,<ins><span class=woocommerce-Price-amount amount><bdi>80.750 <span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins>,2025-07-11,Đã,Không rõ
ID058,Cà phê Rang Xay EXPERT BLEND 3 King Coffee,King Coffee,huyenthoaiviet.vn,https://huyenthoaiviet.vn/ca-phe-rang-xay-expert-blend-3-king-coffee-bich-500gam-269.html,Arabica Cầu Đất,500 g,"175,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price id=price-special>175.000đ</span>,2025-07-11,Đã,Không rõ
ID059,Cà Phê Rang Xay Inspire Blend King Coffee,King Coffee,huyenthoaiviet.vn,https://huyenthoaiviet.vn/ca-phe-rang-xay-inspire-blend-king-coffee-bich-500gam-266.html,"Blend (Culi Arabica, Robusta, Excelsa, Catimor)",500 g,"145,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price id=price-special>145.000đ</span>,2025-07-11,Đã,Không rõ
ID067,Cà Phê Rang Xay Nguyên Chất - Dòng Thích (250g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-rang-xay-nguyen-chat-dong-thich-250g,"Blend 60% Robusta, 40% Arabica",250 g,"140,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 140,000₫ </span>",2025-07-11,Đã,Không rõ
ID068,Cà Phê Rang Xay Nguyên Chất - Dòng Thích (500g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-rang-xay-nguyen-chat-dong-thich-500g,"Blend 60% Robusta, 40% Arabica",500 g,"260,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 260,000₫ </span>",2025-07-11,Đã,Không rõ
ID069,Cà phê nguyên chất hạt rang ARABICA – 250g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-arabica-250g,Arabica,250 g,"200,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 200,000₫ </span>",2025-07-11,Đã,Không rõ
ID070,Cà phê nguyên chất hạt rang ARABICA – 500g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-arabica-500g,Arabica,500 g,"360,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 360,000₫ </span>",2025-07-11,Đã,Không rõ
ID071,Cà Phê Hạt Rang Nguyên Chất - Dòng Culi (250g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-hat-rang-nguyen-chat-dong-culi-250g,Culi,250 g,"110,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 110,000₫ </span>",2025-07-11,Đã,Không rõ
ID072,Cà phê nguyên chất hạt rang CULI – 1000g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-culi-1000g,Culi,1 kg,"380,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 380,000₫ </span>",2025-07-11,Đã,Không rõ
ID085,CÀ PHÊ RANG XAY NGUYÊN CHẤT,HappyFood (Harvest),happyfood.vn,https://happyfood.vn/san-pham/ca-phe-rang-xay-nguyen-chat/,Blend Arabica & Robusta,500 g,"156,000",Theo ĐVVC,Không rõ,Toàn quốc,"<p class=price><span class=woocommerce-Price-amount amount><bdi>156,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></p>",2025-07-11,Đã,Không rõ
ID094,Cà phê đặc sản Arabica Typica 250gr,LKT Artisan Coffee,lkt.coffee,https://www.lkt.coffee/product-page/c%C3%A0-ph%C3%AA-%C4%91%E1%BA%B7c-s%E1%BA%A3n-arabica-typica-250gr,Arabica Typica,250 g,"450,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>450.000₫</span>,2025-07-11,Đã,Không rõ
ID103,Dark Vader Arabica Cà Phê,Bosgaurus Coffee Roasters,bosgauruscoffee.com,https://bosgauruscoffee.com/,Arabica,Không rõ,$10.00,Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>$10.00</div>,2025-07-11,Đã,Không rõ
ID105,CÀ PHÊ RANG XAY CLASSIC FILTER 500G,CAFÉ IIN,cafeiin.com,https://cafeiin.com/classic-filter-500g/,Robusta,500 g,"175,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount>175.000 <span class=woocommerce-Price-currencySymbol>₫</span></span>,2025-07-11,Đã,Không rõ
ID113,Cà phê rang xay Ông Bầu OB 2 hài hòa,Ông Bầu,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-rang-xay-ong-bau-ob-2-hai-hoa-250g,Blend,250 g,"91,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>91.000₫</strong></p>,2025-07-11,Đã,Không rõ
ID118,Cà phê rang xay nguyên chất Thức tỉnh 2,Tây Nguyên Xanh,greenhighlandcoffee.com.vn,https://greenhighlandcoffee.com.vn/product/ca-phe-rang-xay-nguyen-chat-thuc-tinh-2-coffee-tay-nguyen-xanh-100g/,Blend Arabica & Robusta,100 g,"17,850",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price><ins><span class=woocommerce-Price-amount amount><bdi>17,850<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span></ins></span>",2025-07-11,Đã,Không rõ
ID119,CÀ PHÊ RANG XAY TRUYỀN THỐNG (500g/túi),Vinacafé,vinacafe.com.vn,https://vinacafe.com.vn/san-pham/cafe,Blend,500 g,"163,889",Theo ĐVVC,Không rõ,Toàn quốc,<span>Giá bán lẻ: 163.889 đ</span>,2025-07-11,Đã,Không rõ
ID120,CÀ PHÊ RANG XAY HẠNG NHẤT (500g/túi),Vinacafé,vinacafe.com.vn,https://vinacafe.com.vn/san-pham/cafe,Blend,500 g,"170,370",Theo ĐVVC,Không rõ,Toàn quốc,<span>Giá bán lẻ: 170.370 đ</span>,2025-07-11,Đã,Không rõ
ID125,Cà phê Ocean Blue bột - túi Zipper 250gr,Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-ocean-blue-bot-tui-zipper-250gr-ocean-blue-ground-coffee-250gr-zipper-bag,Blend,250 g,"85,800",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>85.800₫</div>,2025-07-11,Đã,Không rõ
ID126,Cà phê bột MC3 (MC3 ground coffee),Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-bot-mc3-mc3-ground-coffee,Blend,500 g,"220,000",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>220.000₫</div>,2025-07-11,Đã,Không rõ
ID127,Cà phê bột Arabica (Arabica Ground Coffee),Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-bot-arabica-arabica-ground-coffee,Arabica,500 g,"88,000",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>88.000₫</div>,2025-07-11,Đã,Không rõ
ID129,Cà Phê Hạt Rang AnTháiCafé Túi Hương Chồn - 500g,AnTháiCafé,tiki.vn,https://tiki.vn/ca-phe-hat-rang-anthaicafe-tui-huong-chon-500g-p53304705.html,Blend (Hương Chồn),500 g,"139,100","14,000 - 25,000","149,000",Toàn quốc,<div class=product-price__current-price>139.100 ₫</div>,2025-07-11,Đã,Không rõ
ID130,Cà phê Hạt rang Robusta Truyền thống,AnTháiCafé,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-robusta-truyen-thong/,Robusta,500 g,"91,500",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>91.500 <span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID131,Cà phê Hạt rang Arabica (Thơm Ngon),AnTháiCafé,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-arabica-thom-ngon/,Arabica,500 g,"145,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>145.000 <span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID132,Cà Phê Hạt Rang Xay Espresso hộp (250gr),HIUP Coffee,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-xay-espresso-hop-250gr-hiup-coffee/,Blend,250 g,"87,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>87.000 <span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID134,Cà phê phin giấy Arabica,Early Morning,earlymorning.vn,https://earlymorning.vn/arabica-drip-bag-coffee-ca-phe-phin-giay-tui-10-goi,Arabica,150 g (10 gói x 15g),"200,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price-item price-item--regular>200.000₫</span>,2025-07-11,Đã,Không rõ
ID025,Cà phê rang xay MacCoffee Café Phố,MacCoffee,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-rang-xay-maccoffee-cafe-pho-450g,Blend,450 g,"119,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>119.000₫</strong></p>,2025-07-11,Đã,Không rõ
ID029,Cà phê đặc sản ARABICA BOURBON Cầu Đất,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-dac-san-arabica-bourbon-cau-dat,Arabica Bourbon Cầu Đất,250 g,"150,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>150.000₫</span>,2025-07-11,Đã,Không rõ
ID043,Cà Phê Rang Xay Truyền Thống Highlands Coffee 200g,Highlands Coffee,shop.highlandscoffee.com.vn,https://shop.highlandscoffee.com.vn/ban-moi,Blend Robusta & Arabica,200 g,"105,000","10,000","99,000",TP.HCM,<span class=price id=price-preview>105.000₫</span>,2025-07-11,Đã,Không rõ
ID048,Cà phê rang xay Moka Highlands Coffee 200g/gói,Highlands Coffee,shop.highlandscoffee.com.vn,https://shop.highlandscoffee.com.vn/ca-phe-rang-xay-moka-highlands-coffee-200g-goi,Moka,200 g,"145,000","10,000","99,000",TP.HCM,<span class=price price--highlight id=price-preview>145.000₫</span>,2025-07-11,Đã,Không rõ
ID050,Cà phê đặc sản ARABICA LẠC DƯƠNG,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-dac-san-arabica-lac-duong,Arabica Lạc Dương,250 g,"110,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>110.000₫</span>,2025-07-11,Đã,Không rõ
ID051,Cà phê rang xay Sáng tạo 1 Trung Nguyên,Trung Nguyên Legend,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-trung-nguyen-sang-tao-so-1-goi-340g,Culi Robusta,340 g,"85,500",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>85.500₫</strong></p>,2025-07-11,Đã,Không rõ
ID061,Hộp 500g cà phê đặc sản Eatu Café Specialty Coffee,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-dac-san-viet-nam-100-robusta-da-cham-diem-500g/,Robusta (Specialty),500 g,"210,000",Theo ĐVVC,"500,000",Toàn quốc,"<p class=price><del aria-hidden=true><span class=woocommerce-Price-amount amount><bdi>230,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></del> <ins><span class=woocommerce-Price-amount amount><bdi>210,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>",2025-07-11,Đã,Không rõ
ID062,100% ARABICA PHA PHIN,Dehavi Coffee,dehavi.com,https://dehavi.com/250gr-100-arabica-pha-phin,Arabica,250 g,"100,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>100.000₫</span>,2025-07-11,Đã,Không rõ
ID063,100% ROBUSTA PHA PHIN,Dehavi Coffee,dehavi.com,https://dehavi.com/250gr-100-robusta-pha-phin,Robusta,250 g,"80,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>80.000₫</span>,2025-07-11,Đã,Không rõ
ID064,Cà phê ARABICA Pha Máy,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-arabica-pha-may,Arabica,250 g,"150,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>150.000₫</span>,2025-07-11,Đã,Không rõ
ID065,Cà phê ROBUSTA Pha Máy,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-robusta-pha-may,Robusta,250 g,"140,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>140.000₫</span>,2025-07-11,Đã,Không rõ
ID073,Cà phê Mê Trang MC 1,Mê Trang,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-me-trang-mc-so-1-goi-500g,Blend,500 g,"112,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>112.000₫</strong></p>,2025-07-11,Đã,Không rõ
ID074,Cà phê Mê Trang Robusta,Mê Trang,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-me-trang-robusta-goi-500g,Robusta,500 g,"79,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>79.000₫</strong></p>,2025-07-11,Đã,Không rõ